"","FINAL","coords.x1","coords.x2","optional"
"5","Abarema brachystachya (DC.) Barneby & J.W.Grimes",-40.735,-18.967,TRUE
"6","Abarema brachystachya (DC.) Barneby & J.W.Grimes",-42.526,-19.499,TRUE
"7","Abarema brachystachya (DC.) Barneby & J.W.Grimes",-41.708,-19.804,TRUE
"9","Abarema brachystachya (DC.) Barneby & J.W.Grimes",-43.386,-20.369,TRUE
"10","Abarema brachystachya (DC.) Barneby & J.W.Grimes",-42.873,-20.778,TRUE
"79","Abarema cochliacarpos (Gomes) Barneby & J.W.Grimes",-40.077,-19.455,TRUE
"86","Abarema cochliacarpos (Gomes) Barneby & J.W.Grimes",-41.074,-19.477,TRUE
"93","Abarema cochliacarpos (Gomes) Barneby & J.W.Grimes",-43.363,-19.902,TRUE
"156","Abarema jupunba (Willd.) Britton & Killip",-41.074,-19.477,TRUE
"159","Abarema jupunba (Willd.) Britton & Killip",-42.137,-19.022,TRUE
"160","Abarema jupunba (Willd.) Britton & Killip",-41.708,-19.804,TRUE
"165","Abarema langsdorffii (Benth.) Barneby & J.W.Grimes",-42.482,-20.701,TRUE
"168","Abarema langsdorffii (Benth.) Barneby & J.W.Grimes",-41.48,-18.879,TRUE
"169","Abarema langsdorffii (Benth.) Barneby & J.W.Grimes",-42.526,-19.499,TRUE
"170","Abarema langsdorffii (Benth.) Barneby & J.W.Grimes",-42.916,-20.263,TRUE
"171","Abarema langsdorffii (Benth.) Barneby & J.W.Grimes",-43.02,-20.502,TRUE
"173","Abarema langsdorffii (Benth.) Barneby & J.W.Grimes",-43.117,-19.847,TRUE
"174","Abarema langsdorffii (Benth.) Barneby & J.W.Grimes",-42.873,-20.778,TRUE
"177","Abarema langsdorffii (Benth.) Barneby & J.W.Grimes",-43.423,-19.406,TRUE
"267","Abarema brachystachya (DC.) Barneby & J.W.Grimes",-42.618,-19.684,TRUE
"268","Abarema brachystachya (DC.) Barneby & J.W.Grimes",-41.823,-19.721,TRUE
"269","Abarema brachystachya (DC.) Barneby & J.W.Grimes",-43.117,-19.847,TRUE
"270","Abarema brachystachya (DC.) Barneby & J.W.Grimes",-43.363,-19.902,TRUE
"271","Abarema brachystachya (DC.) Barneby & J.W.Grimes",-43.669,-20.072,TRUE
"273","Abarema brachystachya (DC.) Barneby & J.W.Grimes",-43.423,-19.406,TRUE
"278","Abarema villosa Iganci & M.P.Morim",-43.363,-19.902,TRUE
"280","Abarema villosa Iganci & M.P.Morim",-43.477,-20.121,TRUE
"311","Callianthe bedfordiana (Hook.) Donnell",-43.176,-20.449,TRUE
"312","Callianthe bedfordiana (Hook.) Donnell",-43.286,-20.55,TRUE
"341","Callianthe rufinerva (A. St.Hil.) Donnel",-40.669,-19.804,TRUE
"344","Callianthe rufinerva (A. St.Hil.) Donnel",-42.482,-20.701,TRUE
"373","Acanthocladus albicans A.W.Benn.",-42.763,-19.14,TRUE
"374","Acanthocladus albicans A.W.Benn.",-40.778,-19.218,TRUE
"375","Acanthocladus albicans A.W.Benn.",-41.823,-19.721,TRUE
"376","Acanthocladus albicans A.W.Benn.",-42.929,-20.428,TRUE
"521","Acnistus arborescens (L.) Schltdl.",-42.569,-19.582,TRUE
"522","Acnistus arborescens (L.) Schltdl.",-42.618,-19.684,TRUE
"523","Acnistus arborescens (L.) Schltdl.",-41.823,-19.721,TRUE
"604","Acosmium lentiscifolium Schott",-40.669,-19.804,TRUE
"605","Acosmium lentiscifolium Schott",-40.755,-19.768,TRUE
"606","Acosmium lentiscifolium Schott",-41.074,-19.477,TRUE
"609","Acosmium lentiscifolium Schott",-42.137,-19.022,TRUE
"610","Acosmium lentiscifolium Schott",-40.624,-19.587,TRUE
"611","Acosmium lentiscifolium Schott",-42.618,-19.684,TRUE
"612","Acosmium lentiscifolium Schott",-42.535,-19.8,TRUE
"622","Acrocomia aculeata (Jacq.) Lodd. ex Mart.",-43.207,-19.422,TRUE
"625","Acrocomia aculeata (Jacq.) Lodd. ex Mart.",-43.363,-19.902,TRUE
"626","Acrocomia aculeata (Jacq.) Lodd. ex Mart.",-43.386,-20.369,TRUE
"628","Acrocomia aculeata (Jacq.) Lodd. ex Mart.",-43.372,-20.629,TRUE
"634","Acrocomia aculeata (Jacq.) Lodd. ex Mart.",-43.103,-18.103,TRUE
"636","Acrocomia aculeata (Jacq.) Lodd. ex Mart.",-43.423,-19.406,TRUE
"731","Actinostemon concolor (Spreng.) Müll.Arg.",-42.482,-20.701,TRUE
"735","Actinostemon concolor (Spreng.) Müll.Arg.",-42.071,-18.493,TRUE
"736","Actinostemon concolor (Spreng.) Müll.Arg.",-41.48,-18.879,TRUE
"737","Actinostemon concolor (Spreng.) Müll.Arg.",-43.207,-19.422,TRUE
"738","Actinostemon concolor (Spreng.) Müll.Arg.",-42.431,-19.511,TRUE
"739","Actinostemon concolor (Spreng.) Müll.Arg.",-41.823,-19.721,TRUE
"740","Actinostemon concolor (Spreng.) Müll.Arg.",-42.428,-19.723,TRUE
"741","Actinostemon concolor (Spreng.) Müll.Arg.",-42.484,-19.748,TRUE
"742","Actinostemon concolor (Spreng.) Müll.Arg.",-42.535,-19.8,TRUE
"743","Actinostemon concolor (Spreng.) Müll.Arg.",-41.708,-19.804,TRUE
"744","Actinostemon concolor (Spreng.) Müll.Arg.",-42.916,-20.263,TRUE
"746","Actinostemon concolor (Spreng.) Müll.Arg.",-43.117,-19.847,TRUE
"747","Actinostemon concolor (Spreng.) Müll.Arg.",-43.286,-20.55,TRUE
"748","Actinostemon concolor (Spreng.) Müll.Arg.",-42.873,-20.778,TRUE
"757","Actinostemon concolor (Spreng.) Müll.Arg.",-43.103,-18.103,TRUE
"1015","Actinostemon klotzschii (Didr.) Pax",-40.077,-19.455,TRUE
"1019","Actinostemon klotzschii (Didr.) Pax",-41.074,-19.477,TRUE
"1023","Actinostemon klotzschii (Didr.) Pax",-42.071,-18.493,TRUE
"1024","Actinostemon klotzschii (Didr.) Pax",-41.48,-18.879,TRUE
"1025","Actinostemon klotzschii (Didr.) Pax",-42.403,-19.341,TRUE
"1026","Actinostemon klotzschii (Didr.) Pax",-40.548,-19.351,TRUE
"1027","Actinostemon klotzschii (Didr.) Pax",-43.207,-19.422,TRUE
"1028","Actinostemon klotzschii (Didr.) Pax",-42.618,-19.684,TRUE
"1029","Actinostemon klotzschii (Didr.) Pax",-42.428,-19.723,TRUE
"1030","Actinostemon klotzschii (Didr.) Pax",-42.484,-19.748,TRUE
"1031","Actinostemon klotzschii (Didr.) Pax",-42.624,-19.765,TRUE
"1032","Actinostemon klotzschii (Didr.) Pax",-41.708,-19.804,TRUE
"1033","Actinostemon klotzschii (Didr.) Pax",-42.916,-20.263,TRUE
"1037","Actinostemon klotzschii (Didr.) Pax",-43.117,-19.847,TRUE
"1038","Actinostemon klotzschii (Didr.) Pax",-43.386,-20.369,TRUE
"1039","Actinostemon klotzschii (Didr.) Pax",-43.388,-18.549,TRUE
"1161","Actinostemon lasiocarpus (Müll.Arg.) Baill.",-40.077,-19.455,TRUE
"1181","Actinostemon verticillatus (Klotzsch) Baill.",-42.403,-19.341,TRUE
"1182","Actinostemon verticillatus (Klotzsch) Baill.",-42.865,-19.627,TRUE
"1183","Actinostemon verticillatus (Klotzsch) Baill.",-42.484,-19.748,TRUE
"1184","Actinostemon verticillatus (Klotzsch) Baill.",-42.535,-19.8,TRUE
"1185","Actinostemon verticillatus (Klotzsch) Baill.",-41.708,-19.804,TRUE
"1264","Aegiphila graveolens Mart. & Schauer",-40.077,-19.455,TRUE
"1303","Aegiphila integrifolia (Jacq.) Moldenke",-40.077,-19.455,TRUE
"1310","Aegiphila integrifolia (Jacq.) Moldenke",-40.669,-19.804,TRUE
"1314","Aegiphila integrifolia (Jacq.) Moldenke",-40.755,-19.768,TRUE
"1316","Aegiphila integrifolia (Jacq.) Moldenke",-42.482,-20.701,TRUE
