"","species","n.occurrences"
"1","Abarema brachystachya (DC.) Barneby & J.W.Grimes",11
"2","Abarema cochliacarpos (Gomes) Barneby & J.W.Grimes",3
"3","Abarema jupunba (Willd.) Britton & Killip",3
"4","Abarema langsdorffii (Benth.) Barneby & J.W.Grimes",8
"5","Abarema villosa Iganci & M.P.Morim",2
"6","Acanthocladus albicans A.W.Benn.",4
"7","Acnistus arborescens (L.) Schltdl.",3
"8","Acosmium lentiscifolium Schott",7
"9","Acrocomia aculeata (Jacq.) Lodd. ex Mart.",6
"10","Actinostemon concolor (Spreng.) Müll.Arg.",15
"11","Actinostemon klotzschii (Didr.) Pax",16
"12","Actinostemon lasiocarpus (Müll.Arg.) Baill.",1
"13","Actinostemon verticillatus (Klotzsch) Baill.",5
"14","Aegiphila graveolens Mart. & Schauer",1
"15","Aegiphila integrifolia (Jacq.) Moldenke",38
"16","Aegiphila mediterranea Vell.",1
"17","Aegiphila obducta Vell.",3
"18","Aegiphila verticillata Vell.",8
"19","Aegiphila vitelliniflora Walp.",1
"20","Agarista coriifolia (Thunb.) Hook. ex Nied.",4
"21","Agarista eucalyptoides (Cham. & Schltdl.) G.Don",8
"22","Agarista oleifolia (Cham.) G.Don",5
"23","Agonandra excelsa Griseb.",17
"24","Aiouea acarodomatifera Kosterm.",1
"25","Aiouea saligna Meisn.",12
"26","Albizia pedicellaris (DC.) L.Rico",6
"27","Albizia polycephala (Benth.) Killip ex Record",32
"28","Alchornea glandulosa Poepp. & Endl.",32
"29","Alchornea sidifolia Müll.Arg.",2
"30","Alchornea triplinervia (Spreng.) Müll.Arg.",27
"31","Algernonia leandrii (Baill.) G.L.Webster",1
"32","Allagoptera caudescens (Mart.) Kuntze",11
"33","Allophylus edulis (A.St.-Hil. et al.) Hieron. ex Niederl.",32
"34","Allophylus petiolulatus Radlk.",10
"35","Allophylus racemosus Sw.",24
"36","Allophylus semidentatus (Miq.) Radlk.",2
"37","Almeidea lilacina A.St.-Hil.",2
"38","Almeidea rubra A.St.-Hil.",9
"39","Aloysia virgata (Ruiz & Pav.) Juss.",24
"40","Alseis floribunda Schott",26
"41","Alsophila setosa Kaulf.",3
"42","Alsophila sternbergii (Sternb.) D.S.Conant",5
"43","Amaioua guianensis Aubl.",23
"44","Amaioua intermedia Mart. ex Schult. & Schult.f.",15
"45","Amaioua pilosa K.Schum.",5
"46","Amburana cearensis (Allemão) A.C.Sm.",7
